Pendel 1 in Ruhe
Pendel 2 ausgelenkt
16.208 -7.070 -1.895
16.233 -7.385 -1.166
16.258 -7.560 -0.413
16.283 -7.770 0.316
16.308 -7.910 1.069
16.333 -8.015 1.798
16.358 -8.015 2.551
16.383 -7.945 3.305
16.408 -7.805 3.961
16.433 -7.490 4.593
16.458 -7.210 5.152
16.483 -6.755 5.662
16.508 -6.370 6.172
16.533 -5.845 6.537
16.558 -5.285 6.901
16.583 -4.550 7.168
16.608 -3.885 7.387
16.633 -3.255 7.533
16.658 -2.380 7.606
16.683 -1.575 7.557
16.708 -0.735 7.533
16.733 0.070 7.436
16.758 0.840 7.168
16.783 1.645 6.974
16.808 2.415 6.682
16.833 3.150 6.294
16.858 3.780 5.905
16.883 4.480 5.540
16.908 5.110 5.054
16.933 5.670 4.617
16.958 6.090 4.082
16.983 6.510 3.572
17.008 6.685 3.086
17.033 6.790 2.600
17.058 6.965 2.041
17.083 6.860 1.579
17.108 6.895 1.142
17.133 6.615 0.632
17.158 6.370 0.146
17.183 5.985 -0.219
17.208 5.495 -0.583
17.233 4.970 -0.899
17.258 4.340 -1.166
17.283 3.500 -1.385
17.308 2.870 -1.604
17.333 2.030 -1.750
17.358 1.120 -1.871
17.383 0.210 -1.944
17.408 -0.630 -1.968
17.433 -1.575 -1.920
17.458 -2.415 -1.871
17.483 -3.395 -1.725
17.508 -4.165 -1.604
17.533 -5.075 -1.434
17.558 -5.915 -1.215
17.583 -6.685 -0.972
17.608 -7.350 -0.705
17.633 -8.050 -0.413
17.658 -8.575 -0.146
17.683 -9.170 0.121
17.708 -9.520 0.413
17.733 -9.800 0.778
17.758 -10.045 1.069
17.783 -10.080 1.288
17.808 -10.115 1.507
17.833 -10.115 1.823
17.858 -9.975 2.017
17.883 -9.765 2.211
17.908 -9.380 2.406
17.933 -8.925 2.527
17.958 -8.365 2.624
17.983 -7.875 2.722
18.008 -7.140 2.770
18.033 -6.440 2.867
18.058 -5.600 2.892
18.083 -4.760 2.916
18.108 -3.815 2.916
18.133 -2.870 2.843
18.158 -1.925 2.770
18.183 -0.875 2.746
18.208 0.070 2.649
18.233 1.155 2.600
18.258 2.065 2.503
18.283 2.975 2.430
18.308 3.815 2.381
18.333 4.620 2.308
18.358 5.460 2.260
18.383 6.125 2.211
18.408 6.685 2.090
